ObsDateTime,Latitude,Longitude,Elevation,NELM,Constellation,State
2022-11-21 20:45:00+00:00,31.33409406268104,-109.5212115221496,1249.21,0,Canis Major,United States - Arizona
2022-11-21 20:36:00+00:00,31.3340855129161,-109.5039518045475,1258.78,0,Canis Major,United States - Arizona
2022-11-21 20:32:00+00:00,31.33410697353808,-109.48727293291188,1288.52,0,Canis Major,United States - Arizona
2022-11-21 20:26:00+00:00,31.334068966939068,-109.47012939229732,1311.26,5,Canis Major,United States - Arizona
2022-11-21 20:22:00+00:00,31.33405526151352,-109.45336752216892,1340.61,5,Canis Major,United States - Arizona
2022-11-21 20:18:00+00:00,31.334184673717424,-109.41959486249526,1405.68,6,Canis Major,United States - Arizona
2022-11-21 20:14:00+00:00,31.334125949829943,-109.41960952872309,1405.75,6,Canis Major,United States - Arizona
2022-11-21 20:08:00+00:00,31.3341328,-109.4025904,1457.63,6,Canis Major,United States - Arizona
2022-11-21 20:02:00+00:00,31.33402983540242,-109.3859960608776,1327.25,6,Canis Major,United States - Arizona
2022-11-21 19:58:00+00:00,31.334062960281887,-109.36904307569532,1286.75,6,Canis Major,United States - Arizona
2022-11-21 19:53:00+00:00,31.33402952174179,-109.35222243184334,1249.88,6,Canis Major,United States - Arizona
2022-11-21 19:50:00+00:00,31.334104128246157,-109.33524329939615,1217.39,6,Canis Major,United States - Arizona
2022-11-21 19:47:00+00:00,31.333972412150924,-109.31848308165728,1186.42,6,Canis Major,United States - Arizona
2022-11-21 19:42:00+00:00,31.33401238643874,-109.30155876088396,1157.61,6,Canis Major,United States - Arizona
2022-11-21 19:37:00+00:00,31.33406971895153,-109.28443612257588,1160.24,6,Canis Major,United States - Arizona
2022-11-21 19:34:00+00:00,31.33398329157904,-109.26602486487084,1134.45,6,Canis Major,United States - Arizona
2022-11-21 19:30:00+00:00,31.33385053162439,-109.25067928973854,1137.69,6,Canis Major,United States - Arizona
2022-11-21 19:24:00+00:00,31.333710334677985,-109.23373967058744,1172.24,6,Canis Major,United States - Arizona
2022-11-21 19:20:00+00:00,31.33356976871816,-109.2173694106264,1178.88,6,Canis Major,United States - Arizona
2022-11-21 19:16:00+00:00,31.333450695960057,-109.20324039045715,1197.45,6,Canis Major,United States - Arizona
2022-11-21 19:13:00+00:00,31.33327825886226,-109.1830864416324,1207.19,0,Canis Major,United States - Arizona
2022-11-21 19:09:00+00:00,31.33313841078454,-109.1661653700571,1240.6,0,Canis Major,United States
2022-11-21 19:06:00+00:00,31.33300606075497,-109.14936214037571,1254.96,0,Canis Major,United States - Arizona
2022-11-21 19:00:00+00:00,31.332813068434938,-109.1320114463411,1255.74,0,Canis Major,United States - Arizona
2022-06-23 00:24:00+00:00,34.41607269285474,-119.67828188784856,6.05,5,Canis Major,United States - California
2022-12-24 11:32:00+00:00,37.6387,-106.658,2583.7,5,Pegasus,United States - Colorado
2022-09-29 20:30:00+00:00,20.2175,-155.845,375.029,4,Cygnus,United States - Hawaii
2022-09-27 20:37:00+00:00,20.2175,-155.845,375.226,5,Cygnus,United States
2022-08-29 04:16:00+00:00,20.2175,-155.845,375.528,6,Cygnus,United States
2022-12-11 20:16:00+00:00,33.8734,-115.901,793.8,4,Perseus,United States - Indiana
2022-11-23 18:55:00+00:00,45.1155,-93.489,285.184,5,Pegasus,United States - Minnesota
2022-10-22 20:35:00+00:00,45.1155,-93.489,285.184,5,Cygnus,United States - Minnesota
2022-09-18 21:00:00+00:00,45.1155,-93.489,285.184,5,Cygnus,United States - Minnesota
2022-08-20 20:35:00+00:00,45.1155,-93.489,285.184,5,Cygnus,United States - Minnesota
2022-06-22 20:20:00+00:00,45.1155,-93.489,285.184,5,Bootes,United States - Minnesota
2022-05-26 21:00:00+00:00,45.1155,-93.489,285.184,5,Leo,United States - Minnesota
2022-04-25 19:35:00+00:00,45.1156,-93.489,285.309,3,Leo,United States
2022-03-26 23:40:00+00:00,45.1155,-93.4886,284.668,5,Orion,United States
2022-02-25 17:55:00+00:00,45.1154,-93.4888,283.551,4,Orion,United States - Minnesota
2022-12-30 22:01:00+00:00,37.9977,-105.699,2426.46,6,Perseus,United States - Colorado
2022-12-31 13:16:00+00:00,38.488,-76.7349,44.1143,3,Pegasus,United States - Maryland
2022-10-18 17:24:00+00:00,40.9712,-75.3098,259.351,4,Pegasus,United States - Pennsylvania
2022-12-29 22:36:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-29 19:00:00+00:00,41.297,-105.598,2180.69,5,Pegasus,United States - Wyoming
2022-12-29 12:37:00+00:00,32.7544,-97.4887,226.736,1,Pegasus,United States
2022-11-24 14:07:00+00:00,40.4379,-109.304,1462.22,6,Pegasus,United States - Utah
2022-08-27 19:18:00+00:00,40.438,-109.304,1462.25,6,Hercules,United States - Utah
2022-08-27 19:08:00+00:00,40.4383,-109.305,1466.42,7,Hercules,United States - Utah
2022-12-28 18:54:00+00:00,37.9979,-105.699,2427.86,6,Pegasus,United States - Colorado
2022-08-27 19:08:00+00:00,40.4387,-109.305,1470.79,5,Hercules,United States - Utah
2022-12-27 21:32:00+00:00,37.9977,-105.699,2426.14,6,Pegasus,United States - Colorado
2022-12-27 12:49:00+00:00,32.2433,-106.827,1229.3,2,Pegasus,United States - New Mexico
2022-12-26 21:34:00+00:00,33.5824,-112.112,381.088,3,Pegasus,United States - Arizona
2022-12-25 22:12:00+00:00,37.9979,-105.699,2427.86,6,Pegasus,United States - Colorado
2022-12-25 17:45:00+00:00,34.8687,-82.2172,260.979,3,Pegasus,United States - South Carolina
2022-12-25 13:51:00+00:00,45.1628,-93.1319,274.414,1,Pegasus,United States - Minnesota
2022-12-25 13:05:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-25 13:51:00+00:00,45.1628,-93.1319,274.414,1,Pegasus,United States - Minnesota
2022-12-24 11:32:00+00:00,37.633,-106.667,2556.06,5,Pegasus,United States - Colorado
2022-12-24 13:32:00+00:00,37.9979,-105.699,2427.86,6,Pegasus,United States - Colorado
2022-12-24 17:12:00+00:00,40.0644,-75.3357,98.8845,2,Pegasus,United States - Pennsylvania
2022-12-24 17:12:00+00:00,40.0644,-75.3357,98.8845,2,Pegasus,United States - Pennsylvania
2022-12-24 12:47:00+00:00,40.6325,-112.009,1427.24,2,Pegasus,United States
2022-12-24 13:47:00+00:00,32.6103,-110.798,1329.27,5,Pegasus,United States - Arizona
2022-12-24 13:11:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-24 12:47:00+00:00,40.6325,-112.009,1427.24,2,Pegasus,United States
2022-12-24 14:36:00+00:00,30.3686,-103.666,1361.48,2,Pegasus,United States
2022-12-24 11:32:00+00:00,37.6387,-106.658,2583.7,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.6337,-106.664,2562.25,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.633,-106.667,2556.06,5,Pegasus,United States - Colorado
2022-12-24 11:32:00+00:00,37.6335,-106.665,2561.16,5,Pegasus,United States - Colorado
2022-12-23 13:50:00+00:00,34.0113,-117.992,139.043,1,Pegasus,United States - California
2022-12-23 20:22:00+00:00,38.888,-119.819,1461.36,6,Pegasus,United States - Nevada
2022-12-23 13:50:00+00:00,34.0113,-117.992,139.043,1,Pegasus,United States - California
2022-12-22 21:28:00+00:00,37.9979,-105.699,2427.86,6,Pegasus,United States - Colorado
2022-12-23 13:26:00+00:00,32.6103,-110.798,1329.56,5,Pegasus,United States - Arizona
2022-12-23 13:04:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-23 14:32:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-22 12:44:00+00:00,37.9977,-105.699,2426.5,6,Pegasus,United States - Colorado
2022-12-22 13:32:00+00:00,41.7207,-111.826,1392.88,3,Pegasus,United States - Utah
2022-12-22 11:44:00+00:00,43.0641,-87.9965,228.441,1,Pegasus,United States - Wisconsin
2022-12-21 15:48:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-21 13:57:00+00:00,32.6101,-110.798,1329.76,5,Pegasus,United States - Arizona
2022-12-21 14:35:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-21 13:36:00+00:00,40.2952,-76.9734,148.709,2,Pegasus,United States - Pennsylvania
2022-12-21 13:36:00+00:00,40.2952,-76.9734,148.709,2,Pegasus,United States - Pennsylvania
2022-12-22 15:15:00+00:00,44.6087,-83.8356,259.688,5,Pegasus,United States - Michigan
2022-12-19 20:55:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-20 14:20:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-20 17:45:00+00:00,40.0645,-75.3357,98.9076,2,Pegasus,United States - Pennsylvania
2022-12-20 17:45:00+00:00,40.0645,-75.3357,98.9076,2,Pegasus,United States - Pennsylvania
2022-12-20 14:53:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-20 14:00:00+00:00,39.9799,-74.2661,14.5735,2,Pegasus,United States - New Jersey
2022-12-19 17:45:00+00:00,40.0644,-75.3358,98.8845,1,Pegasus,United States - Pennsylvania
2022-12-19 12:09:00+00:00,37.9981,-105.699,2429.3,6,Pegasus,United States - Colorado
2022-12-19 17:45:00+00:00,40.0644,-75.3358,98.8845,1,Pegasus,United States - Pennsylvania
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-12-19 13:52:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-19 14:42:00+00:00,30.3686,-103.666,1361.48,5,Pegasus,United States
2022-12-19 14:27:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-21 11:30:00+00:00,45.7637,-108.595,985.758,5,Pegasus,United States - Montana
2022-11-20 12:00:00+00:00,45.7637,-108.595,985.758,5,Pegasus,United States - Montana
2022-12-18 15:07:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-11-30 00:55:00+00:00,29.2361,-98.7912,222.71,3,Pegasus,United States - Texas
2022-12-19 01:53:00+00:00,29.2361,-98.7912,222.71,2,Pegasus,United States - Texas
2022-12-18 13:11:00+00:00,37.9979,-105.699,2428.11,6,Pegasus,United States - Colorado
2022-12-18 13:15:00+00:00,41.7207,-111.826,1392.43,2,Pegasus,United States - Utah
2022-12-18 15:07:00+00:00,30.3686,-103.666,1361.48,4,Pegasus,United States
2022-12-18 12:58:00+00:00,36.9049,-111.459,1298.84,4,Pegasus,United States - Arizona
2022-12-18 16:47:00+00:00,40.0644,-75.3357,95.2634,1,Pegasus,United States - Pennsylvania
2022-12-18 12:49:00+00:00,40.6325,-112.009,1427.24,2,Pegasus,United States - Utah
2022-12-18 16:19:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-18 15:58:00+00:00,27.1613,-80.1804,3.40824,3,Pegasus,United States - Florida
2022-12-18 13:06:00+00:00,36.3339,-79.3843,210.456,5,Pegasus,United States - North Carolina
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-18 12:49:00+00:00,42.5242,-70.9087,27.3528,1,Pegasus,United States
2022-12-18 13:06:00+00:00,42.5243,-70.9082,26.6439,1,Pegasus,United States - Massachusetts
2022-12-14 14:34:00+00:00,44.0229,-82.7933,179.956,6,Pegasus,United States - Michigan
2022-11-25 16:42:00+00:00,41.8316,-84.2488,262.551,4,Pegasus,United States - Michigan
2022-11-23 14:50:00+00:00,43.4048,-82.5397,188.138,5,Pegasus,United States - Michigan
2022-12-17 13:28:00+00:00,37.9979,-105.699,2427.27,6,Pegasus,United States - Colorado
2022-12-17 15:35:00+00:00,30.3686,-103.666,1361.48,5,Pegasus,United States
2022-12-17 12:55:00+00:00,30.2377,-97.8832,282.832,4,Pegasus,United States - Texas
2022-12-17 15:27:00+00:00,36.3339,-79.3843,210.456,5,Pegasus,United States - North Carolina
2022-12-17 12:55:00+00:00,30.2377,-97.8832,282.832,4,Pegasus,United States - Texas
2022-12-17 11:48:00+00:00,36.3358,-86.7292,154.586,4,Pegasus,United States - Tennessee
2022-12-16 12:13:00+00:00,37.9981,-105.699,2429.26,6,Pegasus,United States - Colorado
2022-12-16 18:30:00+00:00,36.3339,-79.3843,210.456,4,Pegasus,United States - North Carolina
2022-12-15 16:45:00+00:00,29.8725,-98.6307,391.147,5,Pegasus,United States - Texas
2022-12-15 14:21:00+00:00,42.4374,-88.0382,243.276,1,Pegasus,United States - Illinois
2022-12-15 14:00:00+00:00,36.9049,-111.459,1298.86,5,Pegasus,United States - Arizona
2022-12-15 12:05:00+00:00,37.9978,-105.699,2426.92,6,Pegasus,United States - Colorado
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 14:45:00+00:00,30.3686,-103.666,1361.48,3,Pegasus,United States
2022-12-15 10:28:00+00:00,36.6652,-121.645,17.8503,2,Pegasus,United States - California
2022-12-15 10:21:00+00:00,36.6652,-121.645,17.8773,2,Pegasus,United States - California
2022-12-15 15:11:00+00:00,39.7468,-74.2484,28.2145,3,Pegasus,United States - New Jersey
2022-12-15 14:21:00+00:00,42.4374,-88.0382,243.276,1,Pegasus,United States - Illinois
2022-10-20 18:05:00+00:00,28.5506,-81.3537,33.9686,4,Pegasus,United States - Florida
2022-10-28 19:42:00+00:00,27.5849,-81.0614,17.6189,6,Pegasus,United States - Florida
2022-12-14 13:46:00+00:00,40.5471,-105.028,1499.14,3,Pegasus,United States
2022-12-14 12:11:00+00:00,37.9979,-105.699,2427.44,6,Pegasus,United States - Colorado
2022-12-14 11:39:00+00:00,40.5967,-112.045,1515.19,1,Pegasus,United States - Utah
2022-12-14 13:52:00+00:00,39.9799,-74.2661,14.5735,3,Pegasus,United States - New Jersey
2022-12-13 12:01:00+00:00,28.6543,-81.1603,17.9921,2,Pegasus,United States - Florida
2022-10-21 16:51:00+00:00,45.5808,-69.2625,480.982,6,Pegasus,United States - Maine
2022-10-21 16:51:00+00:00,45.5857,-69.2957,470.627,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6723,-69.3256,387.131,6,Pegasus,United States - Maine
2022-10-21 15:09:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-10-19 15:01:00+00:00,45.6746,-69.3219,390.795,6,Pegasus,United States - Maine
2022-09-26 15:30:00+00:00,45.6746,-69.3219,390.795,6,Cygnus,United States - Maine
